date,distance,steps
20171121,5.21,2895
20171123,5.22,2900
20171127,2.07,1150
20171128,6.62,3680
20171129,21.58,11991
20171130,5.92,3293
20171204,11.19,6222
20171205,1.51,841
20171206,12.93,7187
20171208,5.95,3310
20171212,2.81,1565
20171213,5.16,2863
20171215,7.48,4194
20171217,4.93,2743
20171218,13.3,7389
20171222,41.25,22919
20171223,69.29,38497
20171229,6.03,3355
20180103,4.77,2651
20180105,9.47,5266
20180106,24.09,13388
20180107,34.18,18991
20180108,33.62,18678
20180109,39.53,21966
20180110,20.89,11606
20180111,34.73,19295
20180112,28.00,15561
20180113,31.86,17704
20180114,31.59,17554
20180115,8.75,4865
20180116,2.94,1638
20180124,5.69,3165
20180125,9.34,5194
20180129,2.00,3022
20180130,7.17,3987
20180131,6.66,3700
20180201,16.88,9378
20180205,2.89,1608
20180211,12.11,6731
20180212,7.02,3901
20180219,20.54,11414
20180220,24.52,13633
20180222,15.97,8876
20180223,25.20,14002
20180226,17.61,9785
20180227,15.28,8491
20180228,13.76,7648
20180301,15.40,8559
20180302,45.91,25507
20180305,20.10,11168
20180306,16.88,9383
20180307,15.48,8601
20180308,21.10,11725
20180309,49.67,27599
20180312,40.17,22318
20180313,16.28,9046
20180314,10.01,5566
20180315,13.48,7494
20180316,29.81,16563
20180319,27.21,15121
20180320,13.27,7373
20180321,10.22,5699
20180322,16.47,9152
20180323,36.15,20088
20180326,27.12,15071
20180327,16.28,9049
20180329,13.93,7741
20180409,14.01,7788
20180410,13.18,7326
20180411,11.44,6356
20180412,14.03,7798
20180413,34.24,19024
20180416,33.44,18581
20180417,12.74,7080
20180419,11.47,6375
20180420,37.79,20998
20180423,15.67,8708
20180424,10.07,5595
20180426,16.43,7465
20180427,31.11,17284
20180430,33.04,18357
20180501,13.81,7674
20180503,14.23,7911
20180504,12.61,7011
20180507,40.86,22700
20180508,11.94,6634
20180510,20.75,11531
20180511,39.35,21864
20180514,14.30,7947
20180515,13.13,7297
20180516,11.41,6344
20180517,14.20,7893
20180518,37.41,20784
20180521,13.12,7291
20180522,14.67,8154
20180524,13.56,7538
20180525,42.43,23577
20180528,32.87,18266
20180529,13.52,7513
20180530,10.56,5867
20180531,14.80,8226
20180504,15.19,8444
20180608,16.14,8968
20180611,10.28,5714
20180612,10.71,5953
20180613,12.47,6928
20180615,12.76,7092